strain_entity_id,outer_fold,n_genes,n_unique_families
STRAIN_000852,4,1856,1818
STRAIN_000853,3,3193,3102
STRAIN_000854,1,3130,3044
STRAIN_000855,2,2722,2676
STRAIN_000856,2,2186,2138
STRAIN_000857,2,3012,2950
STRAIN_000858,3,2825,2729
STRAIN_000859,2,3001,2938
STRAIN_000860,5,2083,2033
STRAIN_000861,3,1854,1819
STRAIN_000862,1,3068,2984
STRAIN_000863,3,1824,1802
STRAIN_000864,1,3067,2983
STRAIN_000865,1,3084,2994
STRAIN_000866,2,1844,1819
STRAIN_000867,1,3110,2898
STRAIN_000868,3,3101,3034
STRAIN_000869,2,2628,2596
STRAIN_000870,5,1940,1896
STRAIN_000871,3,2052,1914
STRAIN_000872,5,2227,2202
STRAIN_000873,3,2800,2759
STRAIN_000874,2,2149,2131
STRAIN_000875,4,2119,1960
STRAIN_000876,1,1959,1932
STRAIN_000877,1,3154,3067
STRAIN_000878,3,2875,2779
STRAIN_000879,5,2791,2739
STRAIN_000880,4,1941,1891
STRAIN_000881,2,2192,2043
STRAIN_000882,2,3219,3102
STRAIN_000883,2,3099,3053
STRAIN_000884,3,3158,3083
STRAIN_000885,4,1866,1818
STRAIN_000886,3,2866,2793
STRAIN_000887,3,3037,2958
STRAIN_000888,1,3154,3069
STRAIN_000889,3,2007,1982
STRAIN_000890,4,1864,1816
STRAIN_000891,3,1999,1940
STRAIN_000892,4,1923,1890
STRAIN_000893,2,2450,2370
STRAIN_000894,5,1811,1803
STRAIN_000895,3,2239,1994
STRAIN_000896,4,1876,1833
STRAIN_000897,5,3429,3325
STRAIN_000898,3,2997,2888
STRAIN_000899,1,3169,3080
STRAIN_000900,2,1567,1556
STRAIN_000901,5,2124,2091
STRAIN_000902,3,3036,2964
STRAIN_000903,2,2620,2587
STRAIN_000904,2,2948,2862
STRAIN_000905,2,2063,1895
STRAIN_000906,4,3001,2901
STRAIN_000907,4,2219,2086
STRAIN_000908,5,3125,2940
STRAIN_000909,2,3033,2968
STRAIN_000910,3,2740,2702
STRAIN_000911,4,1937,1898
STRAIN_000912,2,2845,2772
STRAIN_000913,1,3160,3047
STRAIN_000914,4,2464,2386
STRAIN_000915,4,3059,2895
STRAIN_000916,3,2418,2366
STRAIN_000917,1,3003,2947
STRAIN_000918,5,2845,2794
STRAIN_000919,2,2726,2671
STRAIN_000920,1,3286,3132
STRAIN_000921,4,1974,1943
STRAIN_000922,4,1862,1814
STRAIN_000923,3,2078,1946
STRAIN_000924,1,2812,2732
STRAIN_000925,5,2752,2699
STRAIN_000926,3,2634,2563
STRAIN_000927,3,3230,3145
STRAIN_000928,5,3164,3056
STRAIN_000929,2,2793,2721
STRAIN_000930,4,2786,2760
STRAIN_000931,4,2024,1917
STRAIN_000932,5,3133,2978
STRAIN_000933,4,1875,1846
STRAIN_000934,4,1951,1924
STRAIN_000935,2,3276,3030
STRAIN_000936,1,2174,1932
STRAIN_000937,1,2172,1932
STRAIN_000938,3,3021,2941
STRAIN_000939,3,3074,2993
STRAIN_000940,4,2809,2696
STRAIN_000941,2,2249,2082
STRAIN_000942,2,3059,2988
STRAIN_000943,3,2823,2728
STRAIN_000944,4,2311,2250
STRAIN_000945,3,3232,3124
STRAIN_000946,5,3081,2960
STRAIN_000947,3,2847,2645
STRAIN_000948,3,1761,1737
STRAIN_000949,1,2871,2754
STRAIN_000950,5,1943,1888
STRAIN_000951,2,3105,3050
STRAIN_000952,3,2686,2311
STRAIN_000953,3,2005,1984
STRAIN_000955,1,1813,1784
STRAIN_000956,4,1992,1918
STRAIN_000957,5,3551,3318
STRAIN_000958,5,3361,3170
STRAIN_000959,5,3310,3194
STRAIN_000964,3,3018,2950
STRAIN_000967,1,2027,1980
STRAIN_000969,2,2212,2174
STRAIN_000970,1,3027,2959
STRAIN_000975,1,2300,2152
STRAIN_000976,2,3308,3213
STRAIN_000977,2,3235,3138
STRAIN_000979,2,1990,1965
STRAIN_000980,5,3222,3028
STRAIN_000985,5,3013,2880
STRAIN_000988,4,2305,2252
STRAIN_000989,3,3226,3148
STRAIN_000990,3,3295,3205
STRAIN_000991,1,2163,1924
STRAIN_000993,1,1956,1920
STRAIN_000994,1,3191,3107
STRAIN_000995,2,1573,1558
STRAIN_000998,4,2344,2284
STRAIN_001005,5,3267,3172
STRAIN_001006,1,3138,3066
STRAIN_001007,1,3101,3031
STRAIN_001008,5,2658,2538
STRAIN_001009,1,1818,1791
STRAIN_001010,3,2013,1949
STRAIN_001011,3,1884,1857
STRAIN_001012,3,2053,1951
STRAIN_001013,1,2576,2345
STRAIN_001014,5,3228,3082
STRAIN_001015,2,2183,2002
STRAIN_001016,4,2063,2011
STRAIN_001017,5,2567,2490
STRAIN_001018,5,3361,3255
STRAIN_001019,1,2428,2373
STRAIN_001021,1,3012,2943
STRAIN_001022,3,3004,2925
STRAIN_001023,4,2156,2078
STRAIN_001024,4,2058,2019
STRAIN_001025,5,3284,3191
